Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
97,3.977074,0.009918,3.977074,0.009918,3.977074,0.009918,0.000000,0.000000,3.977074,0.009918,0.057764,0.000049,0.057764,0.000049,0.009774,6.000000,1577,1176,512,401,2.932668,0,123.000000,1
98,3.700800,0.010029,3.700800,0.010029,3.700800,0.010029,0.000000,0.000000,3.700800,0.010029,0.071531,0.000051,0.071531,0.000051,0.009835,6.000000,1781,1412,512,369,3.826558,0,123.000000,0
99,0.405620,0.010401,0.405620,0.010401,0.405620,0.010401,0.000000,0.000000,0.405620,0.010401,0.036680,0.000036,0.036680,0.000036,0.009460,5.999000,1047,1008,512,39,25.846154,0,125.999000,2
100,3.140884,0.010003,3.140884,0.010003,3.140884,0.010003,0.000000,0.000000,3.140884,0.010003,0.063816,0.000048,0.063816,0.000048,0.009800,8.999000,1632,1318,512,314,4.197452,0,131.999000,1
101,1.242074,0.009937,1.242074,0.009937,1.242074,0.009937,0.000000,0.000000,1.242074,0.009937,0.036380,0.000036,0.036380,0.000036,0.009646,8.999000,1125,1000,512,125,8.000000,0,131.999000,0
102,2.641601,0.010961,2.641601,0.010961,2.641601,0.010961,0.000000,0.000000,2.641601,0.010961,0.157206,0.000062,0.157206,0.000062,0.010309,11.999000,2774,2533,512,241,10.510373,0,131.999000,3
103,4.955754,0.009794,4.955754,0.009794,4.955754,0.009794,0.000000,0.000000,4.955754,0.009794,0.035407,0.000039,0.035407,0.000039,0.009724,6.000000,1421,915,512,506,1.808300,0,131.999000,2
104,3.306118,0.011169,3.306118,0.011169,3.306118,0.011169,0.000000,0.000000,3.306118,0.011169,0.198955,0.000067,0.198955,0.000067,0.010497,3.001000,3287,2991,512,296,10.104730,0,135.000000,3
105,0.285410,0.011416,0.285410,0.011416,0.285410,0.011416,0.000000,0.000000,0.285410,0.011416,0.051289,0.000046,0.051289,0.000046,0.009365,6.001000,1137,1112,512,25,44.480000,0,138.000000,2
106,0.766154,0.014734,0.766154,0.014734,0.766154,0.014734,0.000000,0.000000,0.766154,0.014734,0.224734,0.000068,0.224734,0.000068,0.010412,6.001000,3365,3313,512,52,63.711538,0,138.000000,1
107,3.341595,0.009799,3.341595,0.009799,3.341595,0.009799,0.000000,0.000000,3.341595,0.009799,0.034639,0.000038,0.034639,0.000038,0.009698,6.001000,1249,908,512,341,2.662757,0,138.000000,0
108,6.494605,0.010244,6.494605,0.010244,6.494605,0.010244,0.000000,0.000000,6.494605,0.010244,0.103274,0.000057,0.103274,0.000057,0.010081,3.000000,2443,1809,512,634,2.853312,0,141.000000,1
109,0.481365,0.021880,0.481365,0.021880,0.481365,0.021880,0.000000,0.000000,0.481365,0.021880,0.257152,0.000071,0.257152,0.000071,0.010192,6.000000,3653,3631,512,22,165.045455,0,141.000000,3
110,0.175064,0.043766,0.175064,0.043766,0.175064,0.043766,0.000000,0.000000,0.175064,0.043766,0.118430,0.000058,0.118430,0.000058,0.014159,3.000000,2044,2040,512,4,510.000000,0,141.000000,2
111,3.979795,0.010101,3.902714,0.009905,3.902714,0.009905,0.000000,0.077081,3.902714,0.009905,0.154005,0.000168,0.076924,0.000084,0.009710,0.000000,1308,914,512,394,2.319797,0,141.000000,2
112,0.134839,0.033710,0.134839,0.033710,0.134839,0.033710,0.000000,0.000000,0.134839,0.033710,0.104859,0.000055,0.104859,0.000055,0.007495,6.000000,1908,1904,512,4,476.000000,0,144.000000,0
113,0.311671,0.011543,0.311671,0.011543,0.311671,0.011543,0.000000,0.000000,0.311671,0.011543,0.057753,0.000049,0.057753,0.000049,0.009404,3.000000,1209,1182,512,27,43.777778,0,144.000000,3
114,4.483584,0.009768,4.483584,0.009768,4.483584,0.009768,0.000000,0.000000,4.483584,0.009768,0.026946,0.000030,0.026946,0.000030,0.009709,3.000000,1353,894,512,459,1.947712,0,147.000000,3
115,0.413244,0.010331,0.413244,0.010331,0.413244,0.010331,0.000000,0.000000,0.413244,0.010331,0.035659,0.000038,0.035659,0.000038,0.009440,3.000000,972,932,512,40,23.300000,0,147.000000,0
116,0.898223,0.010324,0.898223,0.010324,0.898223,0.010324,0.000000,0.000000,0.898223,0.010324,0.049610,0.000032,0.049610,0.000032,0.009754,6.000000,1633,1546,1024,87,17.770115,0,147.000000,2
117,6.491546,0.011003,6.491546,0.011003,6.491546,0.011003,0.000000,0.000000,6.491546,0.011003,0.078028,0.000042,0.078028,0.000042,0.010870,2.999000,2434,1844,1024,590,3.125424,0,149.999000,0
118,2.704259,0.009798,2.704259,0.009798,2.704259,0.009798,0.000000,0.000000,2.704259,0.009798,0.032377,0.000036,0.032377,0.000036,0.009681,2.999000,1175,899,512,276,3.257246,0,149.999000,2
119,1.842633,0.009960,1.842633,0.009960,1.842633,0.009960,0.000000,0.000000,1.842633,0.009960,0.048606,0.000046,0.048606,0.000046,0.009697,8.999000,1238,1053,512,185,5.691892,0,149.999000,1
120,5.378211,0.011228,5.339138,0.011146,5.339138,0.011146,0.000000,0.039073,5.339138,0.011146,0.146833,0.000071,0.107759,0.000052,0.010921,0.000000,2542,2063,1024,479,4.306889,0,149.999000,0
