cdf,decode_time_execution_plus_preemption_normalized,replica
0.51,0.009846186934147102,2
0.52,0.009862199977615893,2
0.53,0.00989019217856938,2
0.54,0.00991818437952287,2
0.55,0.009958225122845643,2
0.56,0.010003085283116131,2
0.5700000000000001,0.01004794544338662,2
0.58,0.010062783769084854,2
0.59,0.010072618455687713,2
0.6,0.010082453142290573,2
0.61,0.010095750402222362,2
0.62,0.01010904766215415,2
0.63,0.01012185170321413,2
0.64,0.010131696431043256,2
0.65,0.010141541158872381,2
0.66,0.010148927344393112,2
0.67,0.010150167174142863,2
0.68,0.010151407003892613,2
0.6900000000000001,0.010152856749140175,2
0.7000000000000001,0.01015458638171815,2
0.71,0.010156316014296125,2
0.72,0.010157745337404303,2
0.73,0.010158949428410134,2
0.74,0.010160153519415963,2
0.75,0.010223219232061483,2
0.76,0.010311029593362877,2
0.77,0.010398839954664273,2
0.78,0.010481436245769818,2
0.79,0.010563163525176056,2
0.8,0.010644890804582292,2
0.81,0.010665453753268814,2
0.8200000000000001,0.010686016701955335,2
0.8300000000000001,0.010708853946754752,2
0.84,0.01074533696823154,2
0.85,0.010781819989708327,2
0.86,0.010822648018643237,2
0.87,0.010874338566223454,2
0.88,0.010926029113803672,2
0.89,0.010965642541868537,2
0.9,0.010989153143912937,2
0.91,0.011012663745957336,2
0.92,0.011092661551662414,2
0.93,0.011215024760113,2
0.9400000000000001,0.011337387968563584,2
0.9500000000000001,0.011416642363518173,2
0.96,0.011478653233074364,2
0.97,0.011540664102630554,2
0.98,0.012332221484885575,2
0.99,0.013245369952590413,2
1.0,0.014158518420295252,2
0.0,0.00940436234377431,3
0.01,0.00945153657912645,3
0.02,0.009498710814478587,3
0.03,0.009545885049830727,3
0.04,0.009588258139108439,3
0.05,0.009624229700286915,3
0.06,0.009660201261465391,3
0.07,0.009696172822643866,3
0.08,0.009703265139511932,3
0.09,0.009705544248994929,3
0.1,0.009707823358477927,3
0.11,0.009709964798296484,3
0.12,0.009711762063953938,3
0.13,0.009713559329611392,3
0.14,0.009715356595268846,3
0.15,0.009718150225671634,3
0.16,0.009721342401972555,3
0.17,0.009724534578273478,3
0.18,0.009728172169935722,3
0.19,0.009734482253765912,3
0.2,0.0097407923375961,3
0.21,0.009747102421426289,3
0.22,0.009772560066482514,3
0.23,0.009812378382458267,3
0.24,0.009852196698434018,3
0.25,0.00989201501440977,3
0.26,0.009907613744398032,3
0.27,0.009923212474386293,3
0.28,0.009938811204374553,3
0.29,0.009951467217831442,3
0.3,0.009960199609246503,3
0.31,0.009968932000661566,3
0.32,0.009977664392076627,3
0.33,0.009989968800139337,3
0.34,0.010002868544309988,3
0.35000000000000003,0.010015768288480638,3
0.36,0.010026613863590175,3
0.37,0.010032324016046926,3
0.38,0.01003803416850368,3
0.39,0.01004374432096043,3
0.4,0.010047902353268722,3
0.41000000000000003,0.01005143953751763,3
0.42,0.010054976721766537,3
0.43,0.010060302257826158,3
0.44,0.010076357904750045,3
0.45,0.010092413551673932,3
0.46,0.01010846919859782,3
0.47000000000000003,0.010123060526114142,3
0.48,0.010136553614074787,3
0.49,0.010150046702035434,3
0.5,0.01016353978999608,3
0.51,0.010164090498333197,3
0.52,0.010164641206670313,3
0.53,0.01016519191500743,3
0.54,0.010168626207427017,3
0.55,0.010175905278623228,3
0.56,0.01018318434981944,3
0.5700000000000001,0.010190463421015651,3
0.58,0.010214750831797233,3
0.59,0.010241872965843042,3
0.6,0.010268995099888852,3
0.61,0.01028999381754006,3
0.62,0.010295683994204765,3
0.63,0.01030137417086947,3
0.64,0.010307064347534175,3
0.65,0.010314498929235786,3
