cdf,request_execution_plus_preemption_time_normalized,replica
0.15,0.009988518434305817,3
0.16,0.010015184186589695,3
0.17,0.010041849938873571,3
0.18,0.010067700322490969,3
0.19,0.010088658494109493,3
0.2,0.010109616665728016,3
0.21,0.010130574837346541,3
0.22,0.010149687742578356,3
0.23,0.01016741669802014,3
0.24,0.010185145653461923,3
0.25,0.010202874608903708,3
0.26,0.010207386648952184,3
0.27,0.01021189868900066,3
0.28,0.010216410729049137,3
0.29,0.010219376762026718,3
0.3,0.010220281452243105,3
0.31,0.010221186142459492,3
0.32,0.010222090832675878,3
0.33,0.010226106922732701,3
0.34,0.010230641579429598,3
0.35000000000000003,0.010235176236126495,3
0.36,0.01024398644756788,3
0.37,0.010263485545870485,3
0.38,0.010282984644173092,3
0.39,0.010302483742475697,3
0.4,0.010323672878880035,3
0.41000000000000003,0.010345538030525065,3
0.42,0.010367403182170094,3
0.43,0.010387791607832124,3
0.44,0.01039931967759614,3
0.45,0.010410847747360157,3
0.46,0.010422375817124173,3
0.47000000000000003,0.010447292407515393,3
0.48,0.010482250388377015,3
0.49,0.010517208369238638,3
0.5,0.01055216635010026,3
0.51,0.010589539289276894,3
0.52,0.010626912228453531,3
0.53,0.010664285167630166,3
0.54,0.010688150002607553,3
0.55,0.010694004031985947,3
0.56,0.010699858061364339,3
0.5700000000000001,0.010705712090742732,3
0.58,0.010718824592067995,3
0.59,0.01073314683871774,3
0.6,0.010747469085367485,3
0.61,0.010761155674566567,3
0.62,0.010773253120139001,3
0.63,0.010785350565711435,3
0.64,0.010797448011283869,3
0.65,0.010809091613269787,3
0.66,0.010820553677821101,3
0.67,0.010832015742372414,3
0.68,0.01084392204247733,3
0.6900000000000001,0.010858493755903857,3
0.7000000000000001,0.010873065469330385,3
0.71,0.010887637182756912,3
0.72,0.010900974017480502,3
0.73,0.01091338469317689,3
0.74,0.010925795368873278,3
0.75,0.010938206044569666,3
0.76,0.010944587873879233,3
0.77,0.0109509697031888,3
0.78,0.010957351532498367,3
0.79,0.010985996651117559,3
0.8,0.011044326155482918,3
0.81,0.011102655659848276,3
0.8200000000000001,0.011160985164213634,3
0.8300000000000001,0.011174354220014431,3
0.84,0.011180229867721134,3
0.85,0.011186105515427838,3
0.86,0.011194581999220798,3
0.87,0.011209560573229405,3
0.88,0.011224539147238012,3
0.89,0.011239517721246619,3
0.9,0.011303709063669308,3
0.91,0.011387585513457631,3
0.92,0.011471461963245954,3
0.93,0.011956830255917497,3
0.9400000000000001,0.014851149605888146,3
0.9500000000000001,0.017745468955858795,3
0.96,0.020639788305829482,3
0.97,0.02292615597991763,3
0.98,0.02475655989709384,3
0.99,0.02658696381427008,3
1.0,0.028417367731446316,3
