cdf,request_e2e_time,replica
0.47000000000000003,3.5508054872064485,1
0.48,3.6097965710195385,1
0.49,3.668787654832629,1
0.5,3.7277787386457195,1
0.51,3.752973519915289,1
0.52,3.778168301184858,1
0.53,3.803363082454427,1
0.54,3.844597620329663,1
0.55,3.893852036507731,1
0.56,3.9431064526857997,1
0.5700000000000001,3.976055873648889,1
0.58,3.97639530418202,1
0.59,3.9767347347151514,1
0.6,3.9770741652482826,1
0.61,4.064141266700948,1
0.62,4.151208368153613,1
0.63,4.238275469606277,1
0.64,4.284888646896316,1
0.65,4.311274862105041,1
0.66,4.337661077313766,1
0.67,4.392001369902985,1
0.68,4.502249817253192,1
0.6900000000000001,4.612498264603397,1
0.7000000000000001,4.722746711953604,1
0.71,4.804428624370171,1
0.72,4.886110536786739,1
0.73,4.967792449203307,1
0.74,5.079553309938526,1
0.75,5.206353644833072,1
0.76,5.333153979727618,1
0.77,5.432911924280719,1
0.78,5.478585088150933,1
0.79,5.524258252021145,1
0.8,5.569931415891357,1
0.81,5.57441743968612,1
0.8200000000000001,5.5789034634808825,1
0.8300000000000001,5.583389487275646,1
0.84,5.651237705630498,1
0.85,5.750767021265396,1
0.86,5.8502963369002945,1
0.87,5.9730156277415904,1
0.88,6.142114868995678,1
0.89,6.311214110249769,1
0.9,6.48031335150386,1
0.91,6.484600883519165,1
0.92,6.48888841553447,1
0.93,6.493175947549775,1
0.9400000000000001,6.651268501685967,1
0.9500000000000001,6.886263566882604,1
0.96,7.121258632079239,1
0.97,7.300958270691562,1
0.98,7.370067056135252,1
0.99,7.439175841578942,1
1.0,7.508284627022633,1
0.0,0.17506402719112657,2
0.01,0.1889317925825921,2
0.02,0.20279955797405763,2
0.03,0.21822239679358546,2
0.04,0.2429756761814872,2
0.05,0.2677289555693889,2
0.06,0.28703195763220324,2
0.07,0.29270926638229894,2
0.08,0.2983865751323947,2
0.09,0.3056160052829717,2
0.1,0.3149149306341905,2
0.11,0.3242138559854093,2
0.12,0.343683249878891,2
0.13,0.37078049517906975,2
0.14,0.3978777404792486,2
0.15,0.45083995392554144,2
0.16,0.51414815463028,2
0.17,0.5774563553350184,2
0.18,0.6647853640227281,2
0.19,0.7561178407076,2
0.2,0.8474503173924717,2
0.21,0.865220784667789,2
0.22,0.8829912519431062,2
0.23,0.8999561186056816,2
0.24,0.912087381591806,2
0.25,0.9242186445779303,2
0.26,0.9695210597801447,2
0.27,1.097751355522585,2
0.28,1.225981651265025,2
0.29,1.3564720979312734,2
0.3,1.4899760791626022,2
0.31,1.6234800603939303,2
0.32,1.7371000778925865,2
0.33,1.8358071225917372,2
0.34,1.934514167290888,2
0.35000000000000003,2.0677507009935825,2
0.36,2.2147990302976943,2
0.37,2.3618473596018057,2
0.38,2.4484304740911376,2
0.39,2.524936052778005,2
0.4,2.6014416314648727,2
0.41000000000000003,2.6355578219220495,2
0.42,2.6696740123792257,2
0.43,2.699183577245326,2
0.44,2.7010533885649637,2
0.45,2.7029231998846015,2
0.46,2.790943626123159,2
0.47000000000000003,3.0943405896590086,2
0.48,3.3977375531948617,2
0.49,3.5798810411729165,2
0.5,3.6003532284072435,2
0.51,3.6208254156415705,2
0.52,3.6348331763351873,2
0.53,3.643992617123271,2
0.54,3.653152057911355,2
0.55,3.7233312449351486,2
0.56,3.8179183304532263,2
0.5700000000000001,3.912505415971304,2
0.58,3.9421510732342155,2
0.59,3.960973159121267,2
0.6,3.9797952450083187,2
0.61,4.053219068054276,2
0.62,4.126642891100235,2
0.63,4.192588859752375,2
0.64,4.213667702041607,2
0.65,4.234746544330839,2
0.66,4.26327653068213,2
0.67,4.3104343771885665,2
0.68,4.357592223695002,2
0.6900000000000001,4.407062475358071,2
0.7000000000000001,4.45961593389665,2
0.71,4.512169392435229,2
0.72,4.585920478978954,2
0.73,4.675569786526539,2
0.74,4.765219094074123,2
0.75,4.796696192984845,2
0.76,4.804904408440821,2
0.77,4.813112623896797,2
0.78,4.856725729008714,2
0.79,4.906239649063287,2
0.8,4.95575356911786,2
0.81,5.22327619089311,2
0.8200000000000001,5.490798812668356,2
0.8300000000000001,5.737306260808164,2
0.84,5.857722667135337,2
0.85,5.9781390734625095,2
0.86,6.077463145867151,2
0.87,6.124056383465468,2
0.88,6.170649621063784,2
0.89,6.2927635081795685,2
0.9,6.515571594651973,2
0.91,6.738379681124381,2
0.92,6.922750366053777,2
0.93,7.078292999825917,2
0.9400000000000001,7.233835633598054,2
0.9500000000000001,7.309782079867674,2
0.96,7.353890051136284,2
0.97,7.397998022404894,2
0.98,7.406558905990055,2
0.99,7.409195274961307,2
1.0,7.411831643932558,2
0.0,0.3116706137026881,3
0.01,0.351712649302815,3
0.02,0.3917546849029418,3
0.03,0.4317967205030686,3
0.04,0.45788029439356137,3
0.05,0.465352586004542,3
0.06,0.4728248776155226,3
0.07,0.48029716922650323,3
0.08,0.5153976102534137,3
0.09,0.5551027428496457,3
0.1,0.5948078754458778,3
0.11,0.6492907874084768,3
0.12,0.7407181477869932,3
0.13,0.8321455081655097,3
0.14,0.9235728685440263,3
0.15,1.0189776833907418,3
0.16,1.1159734800247367,3
0.17,1.2129692766587319,3
0.18,1.3022695734196952,3
0.19,1.3453968709424697,3
0.2,1.3885241684652443,3
0.21,1.4316514659880186,3
0.22,1.5457651130047714,3
0.23,1.713118522142008,3
0.24,1.880471931279244,3
0.25,2.0478253404164803,3
0.26,2.2140824098507426,3
0.27,2.380339479285005,3
0.28,2.5465965487192674,3
0.29,2.7127984257650066,3
0.3,2.878926712959384,3
0.31,3.0450550001537606,3
0.32,3.2111832873481383,3
0.33,3.252004431058468,3
0.34,3.27194105085479,3
0.35000000000000003,3.2918776706511124,3
0.36,3.310557616575575,3
0.37,3.3260958778203866,3
0.38,3.3416341390651985,3
0.39,3.3571724003100103,3
0.4,3.36367515163449,3
0.41000000000000003,3.366563698990837,3
0.42,3.369452246347184,3
0.43,3.3776966072374712,3
0.44,3.4180758493314025,3
0.45,3.4584550914253334,3
0.46,3.498834333519265,3
0.47000000000000003,3.5626589318251054,3
0.48,3.644067547289878,3
0.49,3.72547616275465,3
0.5,3.8068847782194233,3
0.51,3.842990072038258,3
0.52,3.8790953658570926,3
0.53,3.9152006596759272,3
0.54,3.959038461611352,3
0.55,4.013186274368896,3
0.56,4.06733408712644,3
0.5700000000000001,4.1214818998839835,3
0.58,4.134798408886402,3
0.59,4.141309700596299,3
0.6,4.147820992306197,3
0.61,4.153653287662517,3
0.62,4.157788092134897,3
0.63,4.161922896607276,3
0.64,4.166057701079656,3
0.65,4.219123107573634,3
0.66,4.291760754876252,3
0.67,4.364398402178871,3
0.68,4.428936222776343,3
0.6900000000000001,4.444875083142946,3
0.7000000000000001,4.4608139435095495,3
0.71,4.476752803876153,3
0.72,4.489564123253716,3
0.73,4.5000297868895,3
0.74,4.510495450525284,3
0.75,4.520961114161068,3
0.76,4.627803878470797,3
0.77,4.734646642780526,3
0.78,4.841489407090253,3
0.79,4.938413175854761,3
0.8,5.022111617225638,3
0.81,5.105810058596514,3
0.8200000000000001,5.189508499967391,3
0.8300000000000001,5.274950897128536,3
0.84,5.360683953588059,3
0.85,5.446417010047583,3
0.86,5.526972816395654,3
0.87,5.594585497465099,3
0.88,5.662198178534544,3
0.89,5.7298108596039885,3
0.9,5.773326625526903,3
0.91,5.807203625391207,3
0.92,5.841080625255509,3
0.93,5.887178347367161,3
0.9400000000000001,6.0066004029628965,3
0.9500000000000001,6.126022458558632,3
0.96,6.245444514154368,3
0.97,6.768785287423441,3
0.98,7.595065098947508,3
0.99,8.421344910471586,3
1.0,9.247624721995663,3
